CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Sunday 20 January 2019
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),240,142,115,77,45,38,55,76,185,580,1197,1722,2278,2365,2764,3001,2910,2610,2060,1309,829,520,366,196
Bourke Street Mall (South),165,102,81,70,33,35,26,71,131,457,1139,1644,2022,2241,2379,2353,2107,1533,1145,645,444,327,356,133
Melbourne Central,597,411,219,190,64,66,74,121,160,362,581,756,1137,1279,1353,1413,1295,1331,1315,1290,1064,916,725,443
Town Hall (West),929,720,378,221,103,116,163,187,319,742,1420,2022,2441,2715,2840,2909,2923,2561,2223,1783,1441,1265,1129,564
Princes Bridge,725,248,158,123,93,28,58,66,138,228,499,670,1027,1037,1130,1265,1211,1253,1254,1031,1027,825,615,518
Flinders Street Station Underpass,973,570,347,258,179,126,185,246,478,947,1311,1580,1780,1920,1959,2108,2081,1982,1545,1572,1302,1204,991,681
Birrarung Marr,1775,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Webb Bridge,32,20,15,6,6,4,26,102,124,185,268,255,292,265,311,274,271,291,216,172,166,135,88,37
Southern Cross Station,59,29,31,21,25,13,34,47,75,123,131,135,128,125,137,155,143,140,169,102,95,119,62,52
Victoria Point,51,16,19,18,9,7,9,19,49,58,100,79,59,55,73,55,62,77,94,64,73,58,41,16
Waterfront City,39,13,8,4,N/A,1,9,45,41,71,132,133,191,168,227,253,166,162,147,144,141,105,98,36
New Quay,139,59,23,14,5,10,41,96,174,338,462,660,680,643,727,636,620,515,547,554,640,469,282,125
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,390,273,216,172,107,97,113,135,218,366,538,675,638,727,716,807,720,652,616,595,537,497,311,298
State Library,283,197,126,66,52,32,62,53,130,312,539,741,1032,1169,1450,1337,1405,1278,1169,1100,799,711,446,182
Collins St (North),229,96,90,72,34,15,43,77,179,405,788,1013,1191,1152,1204,1334,1132,805,586,424,341,271,248,165
Collins Place (South),77,30,23,25,29,22,43,54,131,216,271,313,314,268,245,363,251,239,301,227,206,179,111,90
Collins Place (North),71,22,7,25,9,5,15,28,40,63,128,153,168,143,145,162,177,142,125,89,79,72,114,44
Chinatown-Swanston St (North),394,288,170,142,101,22,23,41,56,151,327,582,1062,1113,1284,1232,1132,952,1145,1073,1017,759,508,320
Chinatown-Lt Bourke St (South),362,291,194,109,123,52,55,69,52,155,335,488,756,702,629,561,431,446,656,610,718,591,398,117
Bourke St-Russell St (West),611,714,448,355,210,167,102,74,100,278,397,625,897,1020,1030,1011,1098,1100,1044,912,957,837,800,448
Flinders St-Elizabeth St (East),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spencer St-Collins St (South),99,65,43,53,25,27,54,53,110,209,303,263,226,248,242,238,267,243,233,226,172,211,121,83
Spencer St-Collins St (North),395,197,173,161,117,107,164,302,497,818,1212,1056,1006,1048,1125,1138,1131,1122,1065,817,689,639,469,321
Melbourne Convention Exhibition Centre,281,216,76,60,51,46,73,176,565,1207,1499,1352,1427,1521,1554,1684,1712,1462,1313,751,688,589,411,163
QV Market-Elizabeth St (West),213,152,87,75,62,49,77,193,365,771,1065,1407,1754,1708,1327,1300,899,607,531,474,430,380,324,193
QV Market-Peel St,55,40,23,6,5,7,34,48,86,183,248,356,418,421,393,277,207,190,154,166,113,131,87,42
The Arts Centre,208,149,77,61,41,56,63,217,358,815,1653,2140,2389,2791,3162,2698,N/A,N/A,1437,1060,781,1766,597,255
St Kilda Rd-Alexandra Gardens,418,163,73,51,20,37,62,190,375,621,1692,2713,3485,4703,5414,4878,5109,4410,3959,3390,3271,3748,2302,666
Lonsdale St (South),637,468,354,242,112,194,128,67,121,226,429,472,665,880,790,814,831,718,738,790,723,647,552,462
Lygon St (West),387,189,66,21,35,6,9,19,55,88,160,312,378,430,687,763,762,826,572,741,856,726,460,253
City Square
Flinders St-Spring St (West),93,23,22,16,1,8,12,42,83,160,304,180,181,203,122,178,191,145,200,135,88,86,64,87
Flinders St-Spark La,113,40,14,5,2,17,16,47,41,97,183,167,105,99,169,249,298,332,313,267,180,167,83,157
Southbank,1479,716,355,181,92,86,188,486,989,1845,2879,3150,3606,3570,3792,4134,3975,4152,4078,3556,3006,2578,1698,1160
Queen St (West),421,317,195,272,75,37,23,45,110,172,206,199,177,163,200,224,237,211,188,149,136,114,98,59
Lygon St (East),105,33,19,24,19,8,5,15,30,91,101,150,288,269,295,297,218,227,244,315,316,309,131,77
Flinders St-Swanston St (West),269,165,112,90,32,47,69,141,239,498,816,780,708,682,673,692,639,612,666,524,386,369,330,217
Alfred Place,54,24,7,13,5,9,23,36,82,149,159,165,171,101,98,111,118,160,95,94,109,79,41,32
Lonsdale St-Spring St (West),90,50,37,26,10,8,25,30,49,135,215,194,211,215,199,223,206,164,193,135,187,132,60,52
Grattan St-Swanston St (West),44,17,6,20,2,3,17,34,126,216,295,226,282,235,202,216,161,143,97,76,82,88,58,48
Monash Rd-Swanston St (West),2,4,2,3,3,N/A,1,6,20,41,98,68,122,133,96,105,115,105,54,25,31,19,14,2
Tin Alley-Swanston St (West),5,7,1,5,3,N/A,1,9,20,35,66,42,56,80,49,93,103,82,42,38,34,55,25,9
Little Collins St-Swanston St (East),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders La-Swanston St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pelham St (South),21,2,6,2,N/A,31,5,10,15,34,33,46,68,79,57,85,53,92,64,53,42,34,33,12
Melbourne Central-Elizabeth St (East),472,224,162,171,113,78,105,203,324,763,1220,1183,1585,1782,1807,1749,1705,1520,1337,1214,766,673,506,293
QVM-Queen St (East),54,48,30,10,11,6,46,85,190,344,605,786,874,933,790,796,720,294,210,225,147,171,107,53
QVM-Therry St (South),57,83,64,42,25,17,42,74,111,266,386,616,753,712,565,417,267,154,127,104,147,105,74,100
Faraday St-Lygon St (West),97,18,16,13,19,2,17,21,80,156,273,396,481,581,613,604,636,506,533,533,454,373,256,70
QVM-Franklin St (North),62,44,28,21,17,7,24,28,59,164,156,272,339,347,312,286,205,168,176,127,121,113,91,54
Elizabeth St-Lonsdale St (South),493,303,206,123,64,39,34,60,163,278,385,437,550,700,639,639,613,558,403,401,386,395,173,138
Lincoln-Swanston (W),27,8,8,14,2,12,30,14,34,57,104,92,80,131,114,109,123,176,104,112,108,105,63,42
Elizabeth St-La Trobe St (East),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lonsdale St - Elizabeth St (North),150,104,69,38,17,9,16,56,118,262,398,471,480,549,459,407,436,404,439,326,285,251,152,72
Bourke St Bridge,94,59,50,46,24,10,29,43,119,197,283,279,299,224,211,273,272,262,236,206,158,137,134,62
Bourke St - Spencer St (North),269,165,112,90,32,47,69,141,239,498,816,780,708,682,673,692,639,612,666,524,386,369,330,217
Total,15305,8334,5161,3923,2263,1866,2597,4498,8553,17433,28805,34996,41966,45327,47432,47598,42983,38726,36824,31250,27154,25419,17533,9916


Average Hourly Pedestrian Counts for Sunday over the past 4 weeks. 
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),251,137,97,87,50,35,58,121,296,671,1388,2141,2863,3192,3395,3312,3073,2843,2480,2052,1622,1151,685,345
Bourke Street Mall (South),153,112,83,61,39,36,36,76,171,465,1089,1819,2338,2625,2983,3026,2922,2396,1844,1400,1103,718,446,160
Melbourne Central,588,381,272,215,81,76,78,145,225,356,581,836,1292,1582,1673,1807,1668,1705,1783,1943,1623,1495,1102,608
